UF,Cidade Gaúcha,pop
PR,Abatiá,7408
PR,Adrianópolis,5857
PR,Agudos do Sul,9470
PR,Almirante Tamandaré,120041
PR,Altamira do Paraná,1682
PR,Altônia,22176
PR,Alto Paraná,14859
PR,Alto Piquiri,9778
PR,Alvorada do Sul,11503
PR,Amaporã,6332
PR,Ampére,19311
PR,Anahy,2788
PR,Andirá,19926
PR,Ângulo,2930
PR,Antonina,18949
PR,Antônio Olinto,7427
PR,Apucarana,136234
PR,Arapongas,124810
PR,Arapoti,28300
PR,Arapuã,3009
PR,Araruna,14000
PR,Araucária,146214
PR,Ariranha do Ivaí,2066
PR,Assaí,14954
PR,Assis Chateaubriand,33340
PR,Astorga,26209
PR,Atalaia,3881
PR,Balsa Nova,13092
PR,Bandeirantes,31211
PR,Barbosa Ferraz,11426
PR,Barracão,10312
PR,Barra do Jacaré,2781
PR,Bela Vista da Caroba,3457
PR,Bela Vista do Paraíso,15399
PR,Bituruna,16400
PR,Boa Esperança,4047
PR,Boa Esperança do Iguaçu,2470
PR,Boa Ventura de São Roque,6365
PR,Boa Vista da Aparecida,7540
PR,Bocaiúva do Sul,13129
PR,Bom Jesus do Sul,3506
PR,Bom Sucesso,7068
PR,Bom Sucesso do Sul,3254
PR,Borrazópolis,6439
PR,Braganey,5382
PR,Brasilândia do Sul,2585
PR,Cafeara,2954
PR,Cafelândia,18456
PR,Cafezal do Sul,4009
PR,Califórnia,8606
PR,Cambará,25466
PR,Cambé,107341
PR,Cambira,7917
PR,Campina da Lagoa,14043
PR,Campina do Simão,3859
PR,Campina Grande do Sul,43685
PR,Campo Bonito,3763
PR,Campo do Tenente,8045
PR,Campo Largo,133865
PR,Campo Magro,29740
PR,Campo Mourão,95488
PR,Cândido de Abreu,14809
PR,Candói,16053
PR,Cantagalo,13329
PR,Capanema,19148
PR,Capitão Leônidas Marques,15834
PR,Carambeí,23825
PR,Carlópolis,14356
PR,Cascavel,332333
PR,Castro,71809
PR,Catanduvas,10167
PR,Centenário do Sul,10764
PR,Cerro Azul,17833
PR,Céu Azul,11819
PR,Chopinzinho,19167
PR,Cianorte,83816
PR,Cidade Gaúcha,12797
PR,Clevelândia,16450
PR,Colombo,246540
PR,Colorado,24145
PR,Congonhinhas,8857
PR,Conselheiro Mairinck,3876
PR,Contenda,18837
PR,Corbélia,17117
PR,Cornélio Procópio,47842
PR,Coronel Domingos Soares,7518
PR,Coronel Vivida,20580
PR,Corumbataí do Sul,3127
PR,Cruzeiro do Iguaçu,4240
PR,Cruzeiro do Oeste,20947
PR,Cruzeiro do Sul,4449
PR,Cruz Machado,18741
PR,Cruzmaltina,2921
PR,Curitiba,1948626
PR,Curiúva,15196
PR,Diamante do Norte,5030
PR,Diamante do Sul,3424
PR,Diamante D'Oeste,5266
PR,Dois Vizinhos,41038
PR,Douradina,8869
PR,Doutor Camargo,5983
PR,Enéas Marques,5933
PR,Engenheiro Beltrão,13981
PR,Esperança Nova,1665
PR,Entre Rios do Oeste,4596
PR,Espigão Alto do Iguaçu,4048
PR,Farol,3041
PR,Faxinal,17316
PR,Fazenda Rio Grande,102004
PR,Fênix,4748
PR,Fernandes Pinheiro,5602
PR,Figueira,7696
PR,Floraí,4906
PR,Flor da Serra do Sul,4603
PR,Floresta,6851
PR,Florestópolis,10453
PR,Flórida,2699
PR,Formosa do Oeste,6460
PR,Foz do Iguaçu,258248
PR,Francisco Alves,5993
PR,Francisco Beltrão,92216
PR,Foz do Jordão,4556
PR,General Carneiro,13685
PR,Godoy Moreira,2898
PR,Goioerê,28808
PR,Goioxim,7053
PR,Grandes Rios,5497
PR,Guaíra,33310
PR,Guairaçá,6609
PR,Guamiranga,8811
PR,Guapirama,3784
PR,Guaporema,2241
PR,Guaraci,5530
PR,Guaraniaçu,12217
PR,Guarapuava,182644
PR,Guaraqueçaba,7594
PR,Guaratuba,37527
PR,Honório Serpa,5119
PR,Ibaiti,31644
PR,Ibema,6370
PR,Ibiporã,55131
PR,Icaraíma,7786
PR,Iguaraçu,4440
PR,Iguatu,2253
PR,Imbaú,13282
PR,Imbituva,32940
PR,Inácio Martins,11121
PR,Inajá,3116
PR,Indianópolis,4465
PR,Ipiranga,15251
PR,Iporã,13782
PR,Iracema do Oeste,2251
PR,Irati,61088
PR,Iretama,10098
PR,Itaguajé,4446
PR,Itaipulândia,11385
PR,Itambaracá,6549
PR,Itambé,6109
PR,Itapejara d'Oeste,12094
PR,Itaperuçu,29070
PR,Itaúna do Sul,2781
PR,Ivaí,13965
PR,Ivaiporã,31935
PR,Ivaté,8240
PR,Ivatuba,3279
PR,Jaboti,5303
PR,Jacarezinho,39322
PR,Jaguapitã,13742
PR,Jaguariaíva,35027
PR,Jandaia do Sul,21230
PR,Janiópolis,5095
PR,Japira,4930
PR,Japurá,9500
PR,Jardim Alegre,11196
PR,Jardim Olinda,1320
PR,Jataizinho,12638
PR,Jesuítas,8330
PR,Joaquim Távora,12009
PR,Jundiaí do Sul,3269
PR,Juranda,7292
PR,Jussara,7041
PR,Kaloré,4047
PR,Lapa,48410
PR,Laranjal,5784
PR,Laranjeiras do Sul,32139
PR,Leópolis,3925
PR,Lidianópolis,3231
PR,Lindoeste,4592
PR,Loanda,23242
PR,Lobato,4819
PR,Londrina,575377
PR,Luiziana,7240
PR,Lunardelli,4744
PR,Lupionópolis,4945
PR,Mallet,13663
PR,Mamborê,13014
PR,Mandaguaçu,23100
PR,Mandaguari,34515
PR,Mandirituba,27315
PR,Manfrinópolis,2506
PR,Mangueirinha,16642
PR,Manoel Ribas,13510
PR,Marechal Cândido Rondon,53495
PR,Maria Helena,5634
PR,Marialva,35804
PR,Marilândia do Sul,8814
PR,Marilena,7084
PR,Mariluz,10336
PR,Maringá,430157
PR,Mariópolis,6632
PR,Maripá,5582
PR,Marmeleiro,14387
PR,Marquinho,4340
PR,Marumbi,4677
PR,Matelândia,18107
PR,Matinhos,35219
PR,Mato Rico,3206
PR,Mauá da Serra,10800
PR,Medianeira,46574
PR,Mercedes,5577
PR,Mirador,2196
PR,Miraselva,1796
PR,Missal,10704
PR,Moreira Sales,12042
PR,Morretes,16446
PR,Munhoz de Melo,4009
PR,Nossa Senhora das Graças,4008
PR,Nova Aliança do Ivaí,1551
PR,Nova América da Colina,3434
PR,Nova Aurora,10299
PR,Nova Cantu,5061
PR,Nova Esperança,27984
PR,Nova Esperança do Sudoeste,5030
PR,Nova Fátima,8136
PR,Nova Laranjeiras,11507
PR,Nova Londrina,13200
PR,Nova Olímpia,5826
PR,Nova Santa Bárbara,4277
PR,Nova Santa Rosa,8266
PR,Nova Prata do Iguaçu,10544
PR,Nova Tebas,5448
PR,Novo Itacolomi,2840
PR,Ortigueira,21960
PR,Ourizona,3425
PR,Ouro Verde do Oeste,6016
PR,Paiçandu,41773
PR,Palmas,51755
PR,Palmeira,33994
PR,Palmital,12960
PR,Palotina,32121
PR,Paraíso do Norte,14023
PR,Paranacity,11580
PR,Paranaguá,156174
PR,Paranapoema,3241
PR,Paranavaí,88922
PR,Pato Bragado,5684
PR,Pato Branco,83843
PR,Paula Freitas,5908
PR,Paulo Frontin,7387
PR,Peabiru,14007
PR,Perobal,6160
PR,Pérola,11321
PR,Pérola d'Oeste,6288
PR,Piên,12882
PR,Pinhais,133490
PR,Pinhalão,6324
PR,Pinhal de São Bento,2737
PR,Pinhão,32559
PR,Piraí do Sul,25617
PR,Piraquara,114970
PR,Pitanga,29994
PR,Pitangueiras,3262
PR,Planaltina do Paraná,4272
PR,Planalto,13431
PR,Ponta Grossa,355336
PR,Pontal do Paraná,27915
PR,Porecatu,12748
PR,Porto Amazonas,4874
PR,Porto Barreiro,3184
PR,Porto Rico,2556
PR,Porto Vitória,4061
PR,Prado Ferreira,3780
PR,Pranchita,5095
PR,Presidente Castelo Branco,5351
PR,Primeiro de Maio,11130
PR,Prudentópolis,52513
PR,Quarto Centenário,4465
PR,Quatiguá,7477
PR,Quatro Barras,23911
PR,Quatro Pontes,4029
PR,Quedas do Iguaçu,34409
PR,Querência do Norte,12232
PR,Quinta do Sol,4508
PR,Quitandinha,19221
PR,Ramilândia,4476
PR,Rancho Alegre,3784
PR,Rancho Alegre D'Oeste,2628
PR,Realeza,16950
PR,Rebouças,14946
PR,Renascença,6787
PR,Reserva,26825
PR,Reserva do Iguaçu,8069
PR,Ribeirão Claro,10645
PR,Ribeirão do Pinhal,12948
PR,Rio Azul,15336
PR,Rio Bom,3182
PR,Rio Bonito do Iguaçu,13255
PR,Rio Branco do Ivaí,4109
PR,Rio Branco do Sul,32517
PR,Rio Negro,34411
PR,Rolândia,67383
PR,Roncador,9645
PR,Rondon,9622
PR,Rosário do Ivaí,4689
PR,Sabáudia,6891
PR,Salgado Filho,3483
PR,Salto do Itararé,4898
PR,Salto do Lontra,14872
PR,Santa Amélia,3266
PR,Santa Cecília do Pavão,3293
PR,Santa Cruz de Monte Castelo,7751
PR,Santa Fé,12186
