client,document_type,created_at,segment
1,11,2022-10-01,N
2,11,2021-08-01,B
3,11,2021-07-01,B
4,14,2019-07-01,I
5,14,2018-10-01,F
6,11,2022-03-01,O
7,14,2019-12-01,H
8,14,2018-10-01,I
9,11,2021-11-01,K
10,11,2021-07-01,I
11,14,2020-07-01,N
12,11,2021-08-01,N
13,11,2020-06-01,B
14,14,2019-10-01,M
15,14,2020-07-01,I
16,11,2021-01-01,K
17,11,2022-04-01,K
18,11,2020-06-01,O
19,11,2022-01-01,M
20,11,2021-02-01,K
21,11,2021-10-01,M
22,11,2021-08-01,B
23,11,2021-07-01,K
24,11,2021-12-01,O
25,11,2020-07-01,K
26,11,2020-08-01,K
27,11,2020-11-01,I
28,11,2021-10-01,M
29,14,2020-03-01,D
30,11,2022-03-01,I
31,14,2022-06-01,E
32,14,2021-12-01,M
33,11,2019-03-01,O
34,14,2022-07-01,J
35,11,2022-05-01,I
36,11,2019-12-01,B
37,11,2020-03-01,F
38,11,2021-03-01,I
39,11,2020-05-01,N
40,11,2022-08-01,G
41,14,2021-07-01,E
42,14,2021-08-01,N
43,11,2022-04-01,N
44,11,2021-06-01,N
45,14,2018-01-01,G
46,11,2020-03-01,O
47,14,2019-04-01,D
48,14,2021-08-01,E
49,14,2021-01-01,N
50,11,2022-03-01,I
51,11,2022-02-01,K
52,14,2017-09-01,I
53,11,2020-12-01,J
54,11,2021-01-01,I
55,14,2017-10-01,E
56,14,2021-03-01,D
57,14,2020-07-01,J
58,11,2021-08-01,E
59,11,2022-10-01,O
60,14,2022-12-01,I
61,14,2020-02-01,J
62,11,2021-03-01,K
63,11,2022-08-01,M
64,11,2021-07-01,I
65,11,2022-08-01,I
66,11,2021-07-01,F
67,11,2022-10-01,O
68,11,2019-11-01,H
69,14,2018-04-01,L
70,11,2021-09-01,I
71,11,2020-11-01,E
72,14,2022-03-01,I
73,11,2020-09-01,B
74,11,2021-08-01,I
75,11,2021-07-01,M
76,11,2021-11-01,I
77,11,2022-07-01,G
78,11,2020-11-01,O
79,11,2022-06-01,O
80,14,2020-07-01,M
81,11,2019-11-01,N
82,11,2021-06-01,I
83,14,2022-03-01,J
84,11,2022-07-01,I
85,11,2022-02-01,O
86,11,2021-10-01,I
87,14,2020-07-01,O
88,14,2022-10-01,E
89,14,2021-06-01,I
90,11,2021-05-01,I
91,14,2022-02-01,E
92,11,2020-08-01,M
93,11,2021-10-01,I
94,11,2021-04-01,K
95,14,2020-07-01,J
96,14,2019-10-01,I
97,11,2021-09-01,F
98,14,2017-07-01,K
99,11,2021-01-01,K
100,11,2022-04-01,B
101,11,2022-06-01,B
102,14,2017-01-01,M
103,11,2022-01-01,K
104,11,2020-03-01,K
105,11,2021-03-01,B
106,14,2021-07-01,E
107,14,2022-04-01,M
108,11,2021-07-01,I
109,11,2020-07-01,I
110,14,2018-08-01,I
111,11,2019-12-01,I
112,11,2020-07-01,K
113,11,2022-08-01,G
114,14,2022-06-01,A
115,14,2022-10-01,O
116,11,2021-08-01,N
117,11,2019-05-01,B
118,11,2021-08-01,K
119,11,2021-02-01,K
120,14,2018-03-01,K
121,11,2020-12-01,F
122,14,2018-07-01,I
123,11,2022-12-01,I
124,14,2022-02-01,D
125,14,2021-10-01,L
126,11,2020-12-01,B
127,11,2021-08-01,E
128,11,2021-06-01,B
129,11,2021-04-01,I
130,11,2019-11-01,J
131,14,2021-06-01,I
132,14,2022-12-01,M
133,11,2022-02-01,K
134,11,2022-08-01,B
135,11,2022-01-01,K
136,11,2020-04-01,I
137,11,2020-10-01,K
138,11,2022-02-01,B
139,11,2018-10-01,B
140,14,2021-04-01,N
141,14,2019-08-01,I
142,11,2021-08-01,I
143,11,2021-06-01,B
144,14,2021-05-01,I
145,11,2021-07-01,E
146,11,2021-05-01,K
147,11,2020-09-01,I
148,14,2022-11-01,K
149,14,2021-03-01,D
150,14,2018-06-01,G
151,11,2021-06-01,N
152,11,2022-07-01,K
153,14,2020-11-01,J
154,14,2016-11-01,G
155,11,2022-10-01,M
156,11,2021-07-01,N
157,11,2019-06-01,I
158,11,2022-05-01,I
159,11,2022-07-01,A
160,11,2021-06-01,N
161,11,2021-06-01,E
162,14,2021-02-01,D
163,11,2022-11-01,N
164,14,2019-02-01,N
165,11,2019-02-01,I
166,11,2021-07-01,N
167,11,2021-07-01,I
168,11,2022-05-01,O
169,11,2021-02-01,I
170,14,2019-12-01,I
171,11,2021-11-01,I
172,14,2021-06-01,I
173,11,2018-09-01,M
174,11,2020-08-01,K
175,11,2021-02-01,B
176,11,2021-06-01,O
177,11,2019-10-01,B
178,14,2021-10-01,M
179,11,2022-09-01,O
180,11,2021-04-01,E
181,14,2020-05-01,F
182,11,2022-12-01,M
183,11,2022-02-01,B
184,11,2022-04-01,G
185,14,2018-01-01,D
186,14,2020-06-01,I
187,11,2021-06-01,N
188,14,2021-11-01,K
189,14,2018-08-01,I
190,11,2021-05-01,B
191,11,2022-03-01,I
192,14,2021-10-01,N
193,14,2022-10-01,B
194,11,2021-02-01,I
195,14,2018-05-01,B
196,11,2021-08-01,N
197,11,2020-05-01,B
198,11,2021-09-01,B
199,11,2021-07-01,I
200,11,2019-07-01,N
201,11,2021-12-01,B
202,14,2021-05-01,I
203,11,2022-08-01,G
204,11,2021-01-01,K
205,14,2019-03-01,M
206,11,2021-02-01,E
207,14,2022-08-01,O
208,11,2021-12-01,L
209,11,2022-12-01,K
210,11,2021-05-01,I
211,11,2021-08-01,I
212,11,2021-07-01,M
213,14,2018-08-01,O
214,11,2022-06-01,B
215,11,2021-08-01,K
216,11,2020-08-01,B
217,11,2022-01-01,N
218,11,2021-06-01,I
219,11,2021-05-01,B
220,14,2019-12-01,I
221,11,2019-12-01,E
222,11,2020-12-01,K
223,11,2021-06-01,I
224,11,2022-01-01,J
225,11,2021-01-01,N
226,11,2021-04-01,N
227,14,2018-05-01,M
228,11,2022-04-01,I
229,14,2022-12-01,N
230,14,2022-10-01,H
231,14,2018-10-01,I
232,11,2020-11-01,O
233,11,2021-05-01,K
234,11,2021-08-01,B
235,14,2019-11-01,E
236,11,2019-01-01,M
237,11,2021-05-01,I
238,11,2021-10-01,O
239,11,2021-11-01,K
240,11,2021-10-01,E
241,14,2020-06-01,E
242,11,2021-04-01,E
243,11,2020-08-01,K
244,11,2021-02-01,M
245,14,2016-03-01,B
246,14,2020-07-01,I
247,11,2021-12-01,B
248,11,2021-01-01,M
249,14,2019-04-01,M
250,11,2021-02-01,I
251,11,2022-09-01,N
252,11,2022-12-01,B
253,11,2021-01-01,K
254,11,2022-09-01,M
255,11,2021-05-01,F
256,11,2021-02-01,E
257,11,2020-02-01,O
258,14,2022-11-01,M
259,14,2021-09-01,B
260,14,2021-08-01,J
261,11,2021-05-01,I
262,11,2020-06-01,I
263,11,2020-06-01,E
264,11,2020-06-01,I
265,11,2021-03-01,M
266,11,2022-01-01,B
267,11,2021-09-01,H
268,11,2019-09-01,N
269,11,2021-11-01,I
270,11,2022-07-01,K
271,11,2021-01-01,B
272,14,2019-07-01,J
273,14,2018-11-01,F
274,11,2020-08-01,O
275,14,2018-12-01,L
276,11,2019-04-01,N
277,11,2021-09-01,I
278,11,2022-12-01,E
279,11,2021-10-01,I
280,11,2021-02-01,I
281,14,2019-12-01,K
282,11,2021-09-01,B
283,14,2020-01-01,E
284,14,2018-09-01,F
285,11,2021-03-01,I
286,11,2020-03-01,N
287,14,2021-07-01,J
288,14,2020-08-01,J
289,11,2021-08-01,B
290,14,2019-02-01,D
291,11,2022-01-01,K
292,11,2022-08-01,B
293,14,2019-07-01,K
294,14,2017-02-01,O
295,11,2021-06-01,I
296,11,2020-12-01,H
297,11,2019-06-01,B
298,11,2019-10-01,M
299,14,2021-09-01,F
300,11,2021-08-01,I
301,11,2022-07-01,B
302,14,2020-07-01,F
303,11,2022-09-01,F
304,11,2020-01-01,A
305,11,2022-05-01,I
306,11,2021-07-01,B
307,14,2020-08-01,E
308,14,2017-04-01,I
309,11,2021-05-01,I
310,14,2021-10-01,B
311,11,2021-03-01,I
312,14,2022-06-01,N
313,14,2021-01-01,K
314,11,2022-07-01,B
315,11,2022-11-01,B
316,14,2020-06-01,K
317,14,2022-08-01,O
318,14,2017-12-01,K
319,14,2021-05-01,O
320,11,2022-01-01,I
321,14,2019-08-01,I
322,11,2021-07-01,I
323,11,2022-09-01,O
324,11,2021-12-01,E
325,11,2022-04-01,O
326,14,2022-11-01,K
327,11,2022-10-01,B
328,11,2021-06-01,E
329,14,2020-06-01,O
330,11,2021-04-01,I
331,11,2021-12-01,I
332,14,2021-08-01,O
333,11,2019-07-01,M
334,14,2020-07-01,F
335,14,2019-10-01,M
336,11,2020-12-01,K
337,14,2021-07-01,I
338,11,2021-09-01,F
339,14,2022-07-01,O
340,11,2021-11-01,N
341,11,2020-01-01,O
342,14,2018-06-01,B
343,14,2021-10-01,B
344,11,2021-07-01,K
345,11,2021-05-01,I
346,11,2019-03-01,E
347,14,2021-07-01,I
348,11,2022-08-01,I
349,11,2021-05-01,I
350,11,2021-08-01,K
351,11,2021-10-01,B
352,11,2021-12-01,I
353,11,2021-02-01,M
354,14,2021-10-01,I
355,14,2020-03-01,K
356,11,2022-06-01,G
357,11,2021-04-01,I
358,11,2020-08-01,N
359,14,2020-06-01,J
360,11,2021-04-01,K
361,11,2022-07-01,B
362,11,2022-06-01,I
363,11,2021-07-01,E
364,11,2021-11-01,B
365,11,2020-12-01,I
366,14,2019-04-01,I
367,14,2017-12-01,I
368,14,2020-02-01,E
369,11,2020-07-01,I
370,11,2022-02-01,N
371,14,2019-08-01,M
372,14,2017-10-01,O
373,11,2021-07-01,A
374,14,2022-04-01,K
375,11,2021-07-01,J
376,11,2021-10-01,I
377,11,2021-01-01,K
378,14,2021-09-01,D
379,11,2022-07-01,O
380,11,2022-01-01,H
381,14,2021-07-01,J
382,11,2021-09-01,N
383,11,2021-10-01,I
384,14,2020-10-01,N
385,11,2021-04-01,A
386,11,2021-12-01,B
387,11,2021-05-01,K
388,11,2017-10-01,A
389,11,2022-06-01,B
390,11,2021-02-01,O
391,14,2019-07-01,M
392,14,2020-11-01,I
393,14,2022-03-01,I
394,11,2021-04-01,I
395,11,2022-12-01,G
396,11,2022-08-01,F
397,11,2022-10-01,I
398,14,2020-11-01,D
399,11,2022-09-01,J
400,11,2017-09-01,K
401,11,2020-08-01,M
402,11,2019-04-01,I
403,14,2020-11-01,I
404,11,2020-12-01,N
405,11,2022-04-01,I
406,11,2021-07-01,B
407,14,2022-09-01,O
408,11,2021-08-01,I
409,11,2021-02-01,F
410,11,2021-06-01,N
411,11,2021-03-01,I
412,11,2020-04-01,I
413,14,2021-09-01,N
414,14,2021-08-01,E
415,11,2020-01-01,N
416,14,2022-02-01,K
417,11,2022-01-01,I
418,11,2021-07-01,I
419,14,2021-05-01,O
420,11,2021-09-01,O
421,11,2021-03-01,I
422,14,2019-09-01,K
423,11,2021-05-01,I
424,14,2020-01-01,N
425,11,2022-07-01,E
426,11,2021-12-01,B
427,11,2022-11-01,N
428,11,2021-02-01,B
429,14,2018-05-01,B
430,11,2021-07-01,O
431,11,2019-12-01,F
432,14,2021-07-01,I
433,11,2022-08-01,B
434,14,2022-02-01,L
435,11,2020-08-01,E
436,11,2020-10-01,O
437,14,2019-03-01,N
438,11,2021-12-01,M
439,11,2020-10-01,O
440,14,2020-03-01,F
441,11,2020-11-01,B
442,14,2021-02-01,N
443,11,2021-01-01,K
444,11,2021-12-01,O
445,11,2022-02-01,E
446,14,2019-02-01,B
447,11,2020-06-01,E
448,11,2021-08-01,N
449,11,2022-04-01,B
450,14,2020-10-01,G
451,14,2019-05-01,I
452,11,2021-07-01,O
453,11,2021-05-01,M
454,11,2021-04-01,O
455,11,2019-10-01,B
456,11,2022-02-01,N
457,11,2020-02-01,F
458,11,2021-10-01,M
459,11,2022-04-01,F
460,14,2019-11-01,L
461,14,2021-05-01,I
462,14,2021-09-01,M
463,14,2022-03-01,B
464,11,2021-04-01,O
465,11,2020-06-01,M
466,11,2020-09-01,M
467,14,2019-06-01,I
468,14,2021-07-01,J
469,11,2021-12-01,I
470,14,2015-11-01,I
471,11,2021-04-01,I
472,11,2021-10-01,E
473,11,2021-12-01,B
474,11,2021-04-01,I
475,11,2022-04-01,B
476,11,2021-07-01,E
477,14,2021-09-01,B
478,11,2020-06-01,I
479,11,2019-04-01,D
480,14,2022-01-01,I
481,14,2021-08-01,E
482,11,2021-06-01,N
483,11,2021-10-01,I
484,11,2021-12-01,I
485,11,2020-12-01,B
486,11,2021-10-01,O
487,11,2021-07-01,M
488,11,2020-08-01,K
489,11,2020-12-01,F
490,11,2022-07-01,N
491,11,2020-02-01,M
492,14,2020-05-01,N
493,11,2022-03-01,N
494,11,2022-06-01,N
495,11,2021-10-01,K
496,11,2021-11-01,K
497,11,2021-07-01,I
498,11,2021-12-01,I
499,11,2021-04-01,I
500,11,2022-11-01,K
501,11,2021-09-01,F
502,11,2021-06-01,L
503,11,2022-07-01,B
504,11,2021-09-01,I
505,11,2020-10-01,K
506,11,2021-12-01,I
507,11,2021-07-01,B
508,11,2021-01-01,O
509,11,2021-03-01,B
510,11,2018-04-01,F
511,14,2022-04-01,O
512,14,2021-08-01,L
513,14,2017-09-01,L
514,11,2022-03-01,O
515,11,2021-05-01,I
516,14,2020-06-01,D
517,11,2021-06-01,I
518,14,2022-02-01,I
519,11,2018-07-01,D
520,11,2022-07-01,I
521,11,2022-02-01,G
522,11,2021-02-01,K
523,11,2019-05-01,F
524,11,2021-09-01,E
525,14,2021-08-01,I
526,11,2022-02-01,I
527,14,2019-02-01,F
528,11,2022-02-01,I
529,11,2021-10-01,K
530,11,2021-07-01,F
531,14,2019-10-01,O
532,11,2019-11-01,I
533,11,2022-06-01,I
534,14,2020-05-01,E
535,11,2021-08-01,O
536,11,2021-03-01,I
537,11,2022-02-01,F
538,11,2020-01-01,K
539,14,2022-08-01,N
540,11,2022-07-01,I
541,11,2021-07-01,I
542,14,2021-09-01,I
543,11,2020-12-01,K
544,11,2022-09-01,E
545,14,2020-02-01,M
546,11,2022-03-01,N
547,11,2022-09-01,N
548,14,2019-01-01,G
549,11,2021-08-01,E
550,11,2022-08-01,I
551,11,2021-02-01,K
552,11,2021-01-01,I
553,14,2020-11-01,I
554,14,2020-06-01,N
555,11,2022-09-01,E
556,11,2022-03-01,H
557,14,2017-11-01,M
558,11,2021-04-01,K
559,11,2021-12-01,B
560,11,2021-10-01,N
561,14,2020-01-01,O
562,11,2021-08-01,I
563,14,2021-11-01,K
564,14,2020-07-01,I
565,11,2020-10-01,K
566,14,2021-01-01,D
567,14,2022-05-01,D
568,11,2021-10-01,I
569,11,2021-01-01,M
570,11,2021-08-01,E
571,11,2021-08-01,O
572,11,2022-04-01,B
573,11,2021-08-01,J
574,11,2021-10-01,K
575,14,2019-09-01,N
576,11,2020-05-01,N
577,14,2021-10-01,M
578,11,2022-04-01,O
579,11,2020-11-01,I
580,11,2021-10-01,I
581,11,2022-02-01,I
582,14,2017-10-01,M
583,11,2022-09-01,I
584,11,2021-03-01,B
585,11,2020-08-01,B
586,14,2020-11-01,E
587,14,2022-06-01,E
588,11,2021-02-01,I
589,11,2021-10-01,G
590,14,2021-09-01,G
591,11,2020-09-01,I
592,11,2020-11-01,I
593,11,2021-05-01,I
594,11,2019-12-01,O
595,11,2021-08-01,B
596,14,2021-08-01,I
597,11,2021-07-01,B
598,14,2022-11-01,F
599,11,2022-09-01,B
600,11,2020-12-01,K
601,11,2022-09-01,N
602,14,2020-08-01,F
603,11,2019-12-01,O
604,14,2022-07-01,D
605,11,2022-06-01,F
606,14,2017-09-01,D
607,11,2021-01-01,B
608,11,2021-01-01,I
609,11,2022-06-01,I
610,11,2021-01-01,O
611,11,2022-02-01,I
612,11,2021-11-01,N
613,11,2021-08-01,M
614,11,2020-11-01,B
615,11,2021-01-01,E
616,11,2018-08-01,K
617,11,2021-06-01,O
618,11,2020-06-01,I
619,14,2019-11-01,M
620,11,2021-09-01,N
621,14,2019-08-01,B
622,11,2017-12-01,K
623,11,2021-04-01,O
624,14,2022-01-01,I
625,11,2021-02-01,O
626,11,2021-03-01,I
627,11,2020-11-01,N
628,14,2021-08-01,O
629,11,2021-03-01,K
630,11,2020-08-01,K
631,11,2020-07-01,J
632,11,2021-09-01,M
633,11,2020-12-01,I
634,11,2020-12-01,O
635,14,2020-02-01,K
636,11,2021-08-01,B
637,14,2017-09-01,N
638,11,2021-08-01,O
639,14,2017-12-01,L
640,14,2017-10-01,I
641,11,2020-12-01,B
642,11,2021-09-01,M
643,14,2021-07-01,F
644,11,2020-12-01,E
645,11,2021-08-01,I
646,11,2020-09-01,O
647,14,2021-08-01,B
648,11,2021-09-01,I
649,11,2021-09-01,I
650,11,2021-01-01,K
651,11,2019-05-01,B
652,11,2020-06-01,F
653,14,2020-03-01,I
654,11,2021-06-01,E
655,14,2021-08-01,K
656,14,2020-08-01,I
657,14,2022-03-01,N
658,11,2021-10-01,A
659,11,2021-03-01,K
660,11,2022-11-01,N
661,14,2021-04-01,J
662,11,2021-08-01,I
663,14,2021-09-01,M
664,11,2019-09-01,E
665,11,2021-06-01,B
666,11,2022-02-01,F
667,11,2021-09-01,G
668,11,2020-09-01,B
669,11,2018-04-01,B
670,11,2021-06-01,I
671,11,2021-09-01,N
672,11,2022-11-01,I
673,11,2020-05-01,E
674,11,2021-10-01,N
675,11,2020-10-01,A
676,11,2021-08-01,O
677,11,2021-02-01,I
678,11,2021-07-01,B
679,14,2019-04-01,L
680,11,2022-05-01,K
681,11,2019-10-01,J
682,14,2021-10-01,O
683,11,2021-06-01,K
684,11,2021-03-01,B
685,11,2019-04-01,K
686,11,2021-06-01,N
687,14,2021-08-01,L
688,14,2021-01-01,B
689,14,2017-08-01,K
690,11,2021-08-01,I
691,11,2021-01-01,B
692,11,2020-11-01,M
693,14,2020-06-01,D
694,11,2020-12-01,F
695,11,2021-09-01,I
696,14,2019-07-01,I
697,14,2019-10-01,K
698,11,2021-09-01,I
699,14,2021-10-01,G
700,11,2021-06-01,I
701,11,2021-10-01,E
702,11,2021-11-01,B
703,11,2019-02-01,A
704,11,2022-09-01,I
705,11,2020-01-01,O
706,11,2021-02-01,E
707,11,2020-02-01,K
708,11,2020-12-01,B
709,11,2022-06-01,B
710,11,2021-05-01,I
711,14,2021-12-01,H
712,11,2022-01-01,N
713,11,2020-05-01,I
714,11,2021-02-01,I
715,11,2021-08-01,B
716,11,2022-01-01,B
717,11,2021-01-01,I
718,11,2021-11-01,M
719,11,2020-04-01,I
720,11,2021-07-01,O
721,11,2020-10-01,F
722,14,2021-08-01,B
723,11,2022-11-01,O
724,14,2020-08-01,M
725,11,2022-02-01,B
726,14,2018-05-01,J
727,11,2020-09-01,F
728,14,2019-09-01,D
729,14,2020-06-01,D
730,11,2020-05-01,O
731,14,2021-03-01,E
732,11,2020-08-01,B
733,11,2019-06-01,B
734,11,2020-01-01,G
735,11,2021-02-01,I
736,11,2020-09-01,I
737,11,2021-09-01,I
738,11,2019-09-01,M
739,11,2022-02-01,G
740,14,2021-12-01,M
741,11,2021-06-01,I
742,11,2021-04-01,E
743,14,2017-11-01,I
744,11,2021-08-01,I
745,14,2022-06-01,G
746,11,2022-03-01,B
747,14,2018-11-01,N
748,14,2018-03-01,B
749,11,2020-03-01,N
750,11,2021-07-01,I
751,11,2021-10-01,O
752,11,2022-10-01,O
753,11,2022-01-01,O
754,11,2021-02-01,O
755,11,2018-07-01,O
756,11,2022-04-01,B
757,14,2018-01-01,O
758,11,2021-08-01,O
759,11,2021-01-01,E
760,11,2021-02-01,F
761,14,2017-08-01,I
762,11,2022-10-01,O
763,11,2022-01-01,O
764,11,2021-01-01,B
765,11,2021-01-01,I
766,11,2021-01-01,F
767,11,2021-01-01,I
768,11,2020-11-01,N
769,11,2021-10-01,B
770,11,2022-03-01,N
771,11,2022-01-01,N
772,14,2020-08-01,E
773,11,2020-01-01,N
774,11,2022-12-01,O
775,14,2022-07-01,M
776,11,2021-09-01,K
777,14,2021-08-01,I
778,11,2022-11-01,K
779,11,2021-06-01,J
780,14,2020-07-01,I
781,14,2020-11-01,B
782,14,2021-01-01,O
783,11,2018-06-01,O
784,11,2022-07-01,J
785,14,2020-07-01,O
786,14,2020-08-01,I
787,11,2021-05-01,B
788,11,2022-01-01,M
789,11,2022-09-01,E
790,11,2021-12-01,M
791,14,2019-11-01,E
792,11,2020-08-01,N
793,11,2022-03-01,J
794,11,2022-04-01,F
795,11,2019-10-01,I
796,11,2022-07-01,I
797,14,2022-12-01,E
798,11,2022-11-01,N
799,11,2021-04-01,I
800,14,2022-07-01,O
801,11,2020-08-01,F
802,11,2022-05-01,I
803,11,2021-07-01,I
804,11,2021-04-01,B
805,11,2021-12-01,K
806,11,2019-12-01,B
807,14,2019-10-01,E
808,14,2021-08-01,L
809,11,2020-01-01,I
810,11,2020-12-01,I
811,11,2021-06-01,I
812,11,2021-05-01,G
813,14,2019-07-01,M
814,11,2018-09-01,I
815,14,2022-11-01,K
816,11,2022-12-01,B
817,11,2021-08-01,F
818,14,2021-07-01,B
819,14,2020-01-01,G
820,14,2019-07-01,N
821,11,2018-11-01,O
822,14,2019-09-01,B
823,11,2018-02-01,M
824,11,2021-10-01,B
825,11,2020-11-01,K
826,11,2022-06-01,I
827,11,2021-08-01,B
828,11,2021-11-01,K
829,11,2021-05-01,B
830,11,2021-11-01,E
831,11,2020-09-01,J
832,14,2019-01-01,I
833,11,2020-12-01,B
834,14,2021-10-01,J
835,11,2020-06-01,K
836,11,2021-05-01,I
837,14,2021-07-01,E
838,11,2021-05-01,I
839,11,2021-05-01,E
840,11,2022-09-01,G
841,11,2020-12-01,K
842,11,2021-06-01,N
843,11,2021-05-01,K
844,11,2021-08-01,M
845,11,2021-12-01,I
846,14,2022-03-01,N
847,11,2020-05-01,I
848,14,2019-07-01,I
849,14,2021-06-01,E
850,11,2021-08-01,E
851,11,2020-08-01,O
852,14,2022-05-01,K
853,11,2021-09-01,F
854,14,2020-07-01,NA
855,11,2022-04-01,I
856,14,2021-03-01,I
857,11,2021-01-01,I
858,11,2021-11-01,E
